MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0,0.082414869,0,0.709340941
0,0.096106335,0,0.689539401
0,0.141727595,0,0.649875875
0,0.188324307,0,0.622447475
0,0.233046139,0,0.57487412
0,0.289621806,0,0.534532275
0,0.336116629,0,0.474903211
0,0.393567656,0,0.427466113
0,0.456344351,0,0.393652761
0.003364547,0.528591911,0.015156052,0.358859705
0.026840839,0.599715888,0.062512746,0.306393369
0.074789156,0.620881112,0.051651324,0.249889529
0.149166501,0.590394043,0.068345555,0.210734243
0.154505868,0.567270739,0.109191637,0.098572792
0.11580137,0.546273295,0.141000723,0.095138702
0.05939433,0.520069288,0.224465327,0.110384307
0.043854415,0.496647179,0.461945374,0.145019642
0.020921023,0.4516083,0.411108574,0.16863888
0.000585826,0.409802165,0.058947981,0.27118381
0,0.343763069,0,0.429444677
0,0.444909316,0,0.507231427
0,0.497557002,0,0.521605664
0,0.503222955,0,0.562591019
0,0.504764628,0,0.566539647
0,0.508917069,0,0.571701925
0,0.514138459,0,0.655177024
0,0.512634418,0,0.694137365
0,0.512294542,0,0.738724027
0,0.508149314,0,0.765352793
0,0.504967067,0,0.760674467
0,0.500625405,0,0.751289988
0,0.501159571,0,0.743943722
0,0.510066046,0,0.739817127
0.090021643,0.51526508,0.080380742,0.720965207
0.472220539,0.513494326,0.49418745,0.696520938
0.568312854,0.308758948,0.618199593,0.574225476
0.386321888,0.068294591,0.524033754,0.488919002
0.34180063,0.037993307,0.498979113,0.472789353
0.339226811,0.024225119,0.538775128,0.482370504
0.319661312,0.016368259,0.60604331,0.52406611
0.29400496,0.012465665,0.667589323,0.531848806
0.109774017,0.018947661,0.463760406,0.501283243
0.003385975,0.044493798,0.065587127,0.583560573
0,0.147555973,0,0.707477473
0,0.341376421,0,0.741087991
0,0.52527331,0,0.742858885
0,0.626690059,0,0.735852201
0,0.69215197,0,0.717574794
0,0.725668124,0,0.690893928
0,0.740142527,0,0.666054637
0,0.750548598,0,0.670533524
0,0.754605185,0,0.671672387
0,0.755835054,0,0.696346178
0,0.745212103,0,0.712193982
0,0.731709729,0,0.686096425
0,0.722876994,0,0.670379891
0,0.700528496,0,0.617036622
0.09525706,0.685853044,0.037850889,0.538231214
0.501149508,0.663458227,0.246602128,0.525252177
0.647960079,0.518739972,0.438755329,0.307849516
0.574974943,0.322069563,0.539463267,0.203835543
0.509893789,0.27974594,0.561877036,0.228563003
0.48886348,0.268347313,0.575360237,0.238870285
0.499564373,0.270594045,0.641375014,0.215829078
0.534794319,0.264202026,0.703419397,0.172564853
0.245786978,0.253680187,0.49949812,0.159671524
0.009535194,0.245227634,0.073364459,0.236387079
0,0.266002827,0,0.360639202
0,0.41741619,0,0.467724862
0,0.495090408,0,0.576611157
0,0.520977922,0,0.675824864
0,0.522123684,0,0.700737464
0,0.514390682,0,0.706268748
0,0.508624178,0,0.708453827
0,0.505546299,0,0.695548351
0,0.508028879,0,0.687775274
0,0.508048252,0,0.714382992
0,0.502593235,0,0.7359686
0,0.490041304,0,0.752625543
0,0.463586823,0,0.770255871
0,0.445571712,0,0.782169616
0.034692522,0.436931002,0.061760129,0.78746185
0.270516205,0.424122684,0.447192408,0.783940973
0.428672161,0.290200452,0.665651634,0.744828607
0.355706599,0.086552432,0.607694432,0.694898684
0.392236877,0.041751514,0.538708272,0.669697127
0.459047295,0.043316463,0.529182438,0.671369331
0.537598655,0.053958898,0.541982927,0.692079383
0.539473878,0.06827232,0.469965386,0.690890874
0.231138615,0.085038543,0.233317024,0.616449933
0.00953684,0.15315628,0.033531679,0.591016391
0,0.330410311,0,0.640152644
0,0.499394214,0,0.642033064
0,0.630433304,0,0.605393335
0,0.69221047,0,0.607563735
